Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
6/22/2023,B-1,44.4472733,26.0366936,7.41,22.16,0.53,6.33,18.59,28.12,90.37,-,3.03,26.61,60
6/23/2023,B-1,44.4472733,26.0366936,8.8,21.41,0.57,5.62,22.01,30.46,78.26,-,2.7,28.45,60
6/24/2023,B-1,44.4472733,26.0366936,11.33,19.95,0.55,5.59,15.52,23.93,89.9,-,2.88,29.17,54
6/25/2023,B-1,44.4472733,26.0366936,10.39,21.97,0.55,5.04,12.64,20.23,61.03,2680.74,2.54,23.22,86
6/26/2023,B-1,44.4472733,26.0366936,11.91,21.16,0.54,5.53,9.97,18.28,59.24,3666.04,2.69,23.37,79
6/27/2023,B-1,44.4472733,26.0366936,12.59,19.06,0.61,6.42,11.89,21.55,66.71,-,2.75,25.73,59
6/28/2023,B-1,44.4472733,26.0366936,12.71,-,0.62,6.39,21.94,31.56,57.5,1398.05,2.93,19.88,79
6/29/2023,B-1,44.4472733,26.0366936,14.02,21.43,0.54,7.26,7.99,18.9,64.4,-,2.79,20.43,71
6/30/2023,B-1,44.4472733,26.0366936,13.86,19.08,0.55,6.85,16.33,26.64,62.84,-,4.5,23.48,53
7/1/2023,B-1,44.4472733,26.0366936,15.08,24.4,0.58,6.48,17.96,27.7,69.96,-,3.77,26.15,52
7/2/2023,B-1,44.4472733,26.0366936,14.6,21.4,0.61,6.51,14.45,24.24,68.17,4940.34,3.36,26.11,58
7/3/2023,B-1,44.4472733,26.0366936,14.45,22.83,0.64,7.5,19.43,30.71,64.05,4650.57,3.13,26.02,63
7/4/2023,B-1,44.4472733,26.0366936,15.23,22.07,0.66,3.93,19.13,25.04,72.76,-,2.8,27.06,65
7/5/2023,B-1,44.4472733,26.0366936,12.02,23.42,0.63,8.15,16.3,28.57,67.13,-,2.73,27.25,67
7/6/2023,B-1,44.4472733,26.0366936,11.85,28.69,0.65,7.7,19.69,31.28,65.8,-,2.77,27.15,63
7/7/2023,B-1,44.4472733,26.0366936,14.42,19.77,0.64,7.53,16.31,27.64,60.79,4169.95,2.9,25.91,66
7/8/2023,B-1,44.4472733,26.0366936,14.56,29.49,0.58,6.22,6.87,16.22,67.45,4181.67,3,23.41,68
7/9/2023,B-1,44.4472733,26.0366936,20.26,-,0.56,5.33,11.67,19.69,60.93,-,3.43,24.53,53
7/10/2023,B-1,44.4472733,26.0366936,20.14,21.62,0.59,5.78,15.86,24.56,71.91,-,3.63,26.63,51
7/11/2023,B-1,44.4472733,26.0366936,12.96,28.23,0.64,7.15,19.48,30.22,78.85,4743.35,3.3,27.04,56
7/12/2023,B-1,44.4472733,26.0366936,29.93,-,0.66,6.27,14.08,23.51,93.47,-,3.4,27.66,53
7/13/2023,B-1,44.4472733,26.0366936,10.42,17.25,0.7,6.36,14.89,24.46,83.13,-,2.78,30.74,58
7/14/2023,B-1,44.4472733,26.0366936,11.54,19.45,0.65,7.3,13.59,24.57,79.66,-,2.87,27.6,65
7/15/2023,B-1,44.4472733,26.0366936,10.25,15.75,0.64,5.4,11.68,19.8,86.26,-,3.06,28.25,53
7/16/2023,B-1,44.4472733,26.0366936,11.44,17.71,0.65,6.12,14.66,23.86,85.43,-,3.04,29.61,51
7/17/2023,B-1,44.4472733,26.0366936,9.5,15.51,0.68,6.45,24.86,34.56,89.58,-,3.08,30.79,47
7/18/2023,B-1,44.4472733,26.0366936,19.57,31.75,0.65,7.36,15.22,26.29,82.21,-,3.31,30.3,47
7/19/2023,B-1,44.4472733,26.0366936,9.5,17,0.63,7.17,15.06,25.84,83.29,-,3.75,29.32,48
7/20/2023,B-1,44.4472733,26.0366936,11.43,17.69,0.67,7.17,18.17,28.95,68.38,4793.67,3.06,27.69,64
7/21/2023,B-1,44.4472733,26.0366936,11.67,19,0.67,5.69,18.09,26.65,78.4,-,2.98,27.97,58
7/22/2023,B-1,44.4472733,26.0366936,14.19,21.94,0.65,6.43,9.67,19.34,85.93,-,2.93,27.57,64
7/23/2023,B-1,44.4472733,26.0366936,11.21,21,0.67,5.99,14.64,23.65,71.2,3545.98,2.99,25.92,65
7/24/2023,B-1,44.4472733,26.0366936,13.35,20.81,0.67,5.83,15.15,23.91,78.37,-,3.27,27.61,57
7/25/2023,B-1,44.4472733,26.0366936,11.64,22.32,0.75,7.61,28.65,40.09,69.36,4765.94,3.35,30.65,53
7/26/2023,B-1,44.4472733,26.0366936,7.77,-,0.73,9.59,29.08,43.51,68.94,4848.48,3.14,30.77,53
7/27/2023,B-1,44.4472733,26.0366936,13.69,24.1,0.61,7.69,16.48,28.04,44.02,1977.15,3.29,20.51,89
7/28/2023,B-1,44.4472733,26.0366936,16.02,31.34,0.52,8.68,13.93,26.98,62.74,-,3.65,22.54,57
7/29/2023,B-1,44.4472733,26.0366936,15.14,21.65,0.56,8.39,21.89,34.51,62.64,4808.83,4.41,25.89,53
7/30/2023,B-1,44.4472733,26.0366936,10.64,25.62,0.57,7.62,20.71,32.16,65.1,4632.25,5.2,27.98,53
7/31/2023,B-1,44.4472733,26.0366936,4.56,-,0.57,-,-,-,65.23,2106.69,3.42,23.32,80
8/1/2023,B-1,44.4472733,26.0366936,7.29,16.01,0.59,-,-,-,65.81,4546.45,3.25,25.46,67
8/2/2023,B-1,44.4472733,26.0366936,11.39,22.75,0.61,1.19,48.66,50.45,65.3,4103.25,3.98,26.98,59
8/3/2023,B-1,44.4472733,26.0366936,15.43,20.98,0.69,2.07,27.52,30.63,77.98,4674.55,5.71,28.78,56
8/4/2023,B-1,44.4472733,26.0366936,13.39,24.61,0.67,1.27,26.29,28.2,81.95,4487.41,3.97,31.86,46
8/5/2023,B-1,44.4472733,26.0366936,10.93,19.3,0.64,-,-,-,78.37,4793.65,3.19,28.87,57
8/6/2023,B-1,44.4472733,26.0366936,6.62,20.93,0.66,-,-,-,81.01,2630.67,2.97,25.71,72
8/7/2023,B-1,44.4472733,26.0366936,8.55,22.14,0.58,-,-,-,70.4,4573.69,4.11,23.91,53
8/8/2023,B-1,44.4472733,26.0366936,10.28,20.45,0.59,-,-,-,51.81,2796.81,3.3,20.37,73
8/9/2023,B-1,44.4472733,26.0366936,5.72,-,0.54,-,-,-,49.5,3366.77,3.55,22.23,57
8/10/2023,B-1,44.4472733,26.0366936,18.07,20.43,0.53,-,-,-,64.69,3772.03,3.34,23.1,55
8/11/2023,B-1,44.4472733,26.0366936,13.58,24.71,0.55,-,-,-,68.61,4146.28,3.13,23.97,59
8/12/2023,B-1,44.4472733,26.0366936,8.54,26.03,0.56,-,-,-,80.56,4287.59,4.17,25.06,48
8/13/2023,B-1,44.4472733,26.0366936,7.81,23.7,0.56,-,-,-,79.28,4309.79,3.74,25.94,44
8/14/2023,B-1,44.4472733,26.0366936,7.56,25.03,0.56,-,-,-,78.68,4191.93,3.64,26.55,43
8/15/2023,B-1,44.4472733,26.0366936,7.43,22.67,0.59,-,-,-,88.4,3195.46,4,26.68,49
8/16/2023,B-1,44.4472733,26.0366936,15.82,27.12,0.61,-,-,-,82.44,2768.96,4.21,27.92,48
8/17/2023,B-1,44.4472733,26.0366936,14.12,20.42,0.6,-,-,-,72.9,3721.14,4.19,28.26,48
8/18/2023,B-1,44.4472733,26.0366936,17.27,24.79,0.63,-,-,-,73.27,3501.22,4.34,28.93,47
8/19/2023,B-1,44.4472733,26.0366936,18.63,20.82,0.62,-,-,-,84.87,2734.59,4.77,28.94,43
8/20/2023,B-1,44.4472733,26.0366936,15.39,21.2,0.62,-,-,-,79.65,3626.43,4.18,28.9,49
8/21/2023,B-1,44.4472733,26.0366936,17.35,26.15,0.63,-,-,-,67.44,3357.11,3.98,29.54,50
8/22/2023,B-1,44.4472733,26.0366936,16.9,24.67,0.66,-,-,-,66.89,3366.25,3.4,30.18,51
8/23/2023,B-1,44.4472733,26.0366936,11.26,-,0.65,-,-,-,84.5,3476.11,3.73,30.91,45
8/24/2023,B-1,44.4472733,26.0366936,18.52,30.1,0.64,-,-,-,82.46,3375.85,3.37,29.17,54
8/25/2023,B-1,44.4472733,26.0366936,16.79,31.99,0.68,-,-,-,79.46,3480.21,2.94,28.12,66
8/26/2023,B-1,44.4472733,26.0366936,14.38,19.26,0.7,-,-,-,73.99,3148.54,3.14,29.88,54
8/27/2023,B-1,44.4472733,26.0366936,16.05,22.65,0.63,-,-,-,75.68,3250.84,3.49,29.42,45
8/28/2023,B-1,44.4472733,26.0366936,15.83,24.9,0.93,-,-,-,68.82,188.83,3.67,31.93,34
8/29/2023,B-1,44.4472733,26.0366936,16.97,28.95,0.86,-,-,-,69.03,3048.45,3.82,30.3,41
8/30/2023,B-1,44.4472733,26.0366936,20.73,30.36,0.83,-,-,-,78.61,2910.64,4.02,27.04,59
8/31/2023,B-1,44.4472733,26.0366936,21.92,30.78,0.77,-,-,-,72.24,2737.95,3.6,25.23,69
9/1/2023,B-1,44.4472733,26.0366936,17.81,31.7,0.77,-,-,-,64.7,2345.1,3.85,25.05,57
9/2/2023,B-1,44.4472733,26.0366936,15.45,24.21,0.74,-,-,-,66.08,2891.68,3.89,25.46,49
9/3/2023,B-1,44.4472733,26.0366936,16.05,22,0.72,-,-,-,67.83,2584.16,4.41,24.48,56
9/4/2023,B-1,44.4472733,26.0366936,19.56,27.97,0.68,-,-,-,58.38,2159.68,3.55,21.06,70
9/5/2023,B-1,44.4472733,26.0366936,17.73,25.84,0.67,-,-,-,78.82,2296.94,3.69,23.14,52
9/6/2023,B-1,44.4472733,26.0366936,16.87,-,0.65,-,-,-,74.37,2380.03,4,23.55,44
9/7/2023,B-1,44.4472733,26.0366936,15.95,25.66,0.65,-,-,-,77.03,1904.84,4.23,23.74,43
9/8/2023,B-1,44.4472733,26.0366936,19.19,31.11,0.63,-,-,-,57.3,2010.54,4.13,23.41,43
9/9/2023,B-1,44.4472733,26.0366936,16.51,21.58,0.62,-,-,-,62.71,1813.97,4.32,22.28,43
9/10/2023,B-1,44.4472733,26.0366936,16.01,25.62,0.62,-,-,-,64.47,1531.2,4.21,22.86,45
9/11/2023,B-1,44.4472733,26.0366936,13.96,22.63,0.64,-,-,-,54.7,1709.47,3.98,21.31,51
9/12/2023,B-1,44.4472733,26.0366936,16.64,35.31,0.7,-,-,-,54.18,1680.98,4.61,23.01,51
9/13/2023,B-1,44.4472733,26.0366936,17.02,35.65,0.74,-,-,-,54.5,1765.99,4.4,24.17,55
