Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,CO
6/22/2023,B-1,44.4472733,26.0366936,7.41,0.53
6/23/2023,B-1,44.4472733,26.0366936,8.8,0.57
6/24/2023,B-1,44.4472733,26.0366936,11.33,0.55
6/25/2023,B-1,44.4472733,26.0366936,10.39,0.55
6/26/2023,B-1,44.4472733,26.0366936,11.91,0.54
6/27/2023,B-1,44.4472733,26.0366936,12.59,0.61
6/28/2023,B-1,44.4472733,26.0366936,12.71,0.62
6/29/2023,B-1,44.4472733,26.0366936,14.02,0.54
6/30/2023,B-1,44.4472733,26.0366936,13.86,0.55
7/1/2023,B-1,44.4472733,26.0366936,15.08,0.58
7/2/2023,B-1,44.4472733,26.0366936,14.6,0.61
7/3/2023,B-1,44.4472733,26.0366936,14.45,0.64
7/4/2023,B-1,44.4472733,26.0366936,15.23,0.66
7/5/2023,B-1,44.4472733,26.0366936,12.02,0.63
7/6/2023,B-1,44.4472733,26.0366936,11.85,0.65
7/7/2023,B-1,44.4472733,26.0366936,14.42,0.64
7/8/2023,B-1,44.4472733,26.0366936,14.56,0.58
7/9/2023,B-1,44.4472733,26.0366936,20.26,0.56
7/10/2023,B-1,44.4472733,26.0366936,20.14,0.59
7/11/2023,B-1,44.4472733,26.0366936,12.96,0.64
7/12/2023,B-1,44.4472733,26.0366936,29.93,0.66
7/13/2023,B-1,44.4472733,26.0366936,10.42,0.7
7/14/2023,B-1,44.4472733,26.0366936,11.54,0.65
7/15/2023,B-1,44.4472733,26.0366936,10.25,0.64
7/16/2023,B-1,44.4472733,26.0366936,11.44,0.65
7/17/2023,B-1,44.4472733,26.0366936,9.5,0.68
7/18/2023,B-1,44.4472733,26.0366936,19.57,0.65
7/19/2023,B-1,44.4472733,26.0366936,9.5,0.63
7/20/2023,B-1,44.4472733,26.0366936,11.43,0.67
7/21/2023,B-1,44.4472733,26.0366936,11.67,0.67
7/22/2023,B-1,44.4472733,26.0366936,14.19,0.65
7/23/2023,B-1,44.4472733,26.0366936,11.21,0.67
7/24/2023,B-1,44.4472733,26.0366936,13.35,0.67
7/25/2023,B-1,44.4472733,26.0366936,11.64,0.75
7/26/2023,B-1,44.4472733,26.0366936,7.77,0.73
7/27/2023,B-1,44.4472733,26.0366936,13.69,0.61
7/28/2023,B-1,44.4472733,26.0366936,16.02,0.52
7/29/2023,B-1,44.4472733,26.0366936,15.14,0.56
7/30/2023,B-1,44.4472733,26.0366936,10.64,0.57
7/31/2023,B-1,44.4472733,26.0366936,4.56,0.57
8/1/2023,B-1,44.4472733,26.0366936,7.29,0.59
8/2/2023,B-1,44.4472733,26.0366936,11.39,0.61
8/3/2023,B-1,44.4472733,26.0366936,15.43,0.69
8/4/2023,B-1,44.4472733,26.0366936,13.39,0.67
8/5/2023,B-1,44.4472733,26.0366936,10.93,0.64
8/6/2023,B-1,44.4472733,26.0366936,6.62,0.66
8/7/2023,B-1,44.4472733,26.0366936,8.55,0.58
8/8/2023,B-1,44.4472733,26.0366936,10.28,0.59
8/9/2023,B-1,44.4472733,26.0366936,5.72,0.54
8/10/2023,B-1,44.4472733,26.0366936,18.07,0.53
8/11/2023,B-1,44.4472733,26.0366936,13.58,0.55
8/12/2023,B-1,44.4472733,26.0366936,8.54,0.56
8/13/2023,B-1,44.4472733,26.0366936,7.81,0.56
8/14/2023,B-1,44.4472733,26.0366936,7.56,0.56
8/15/2023,B-1,44.4472733,26.0366936,7.43,0.59
8/16/2023,B-1,44.4472733,26.0366936,15.82,0.61
8/17/2023,B-1,44.4472733,26.0366936,14.12,0.6
8/18/2023,B-1,44.4472733,26.0366936,17.27,0.63
8/19/2023,B-1,44.4472733,26.0366936,18.63,0.62
8/20/2023,B-1,44.4472733,26.0366936,15.39,0.62
8/21/2023,B-1,44.4472733,26.0366936,17.35,0.63
8/22/2023,B-1,44.4472733,26.0366936,16.9,0.66
8/23/2023,B-1,44.4472733,26.0366936,11.26,0.65
8/24/2023,B-1,44.4472733,26.0366936,18.52,0.64
8/25/2023,B-1,44.4472733,26.0366936,16.79,0.68
8/26/2023,B-1,44.4472733,26.0366936,14.38,0.7
8/27/2023,B-1,44.4472733,26.0366936,16.05,0.63
8/28/2023,B-1,44.4472733,26.0366936,15.83,0.93
8/29/2023,B-1,44.4472733,26.0366936,16.97,0.86
8/30/2023,B-1,44.4472733,26.0366936,20.73,0.83
8/31/2023,B-1,44.4472733,26.0366936,21.92,0.77
9/1/2023,B-1,44.4472733,26.0366936,17.81,0.77
9/2/2023,B-1,44.4472733,26.0366936,15.45,0.74
9/3/2023,B-1,44.4472733,26.0366936,16.05,0.72
9/4/2023,B-1,44.4472733,26.0366936,19.56,0.68
9/5/2023,B-1,44.4472733,26.0366936,17.73,0.67
9/6/2023,B-1,44.4472733,26.0366936,16.87,0.65
9/7/2023,B-1,44.4472733,26.0366936,15.95,0.65
9/8/2023,B-1,44.4472733,26.0366936,19.19,0.63
9/9/2023,B-1,44.4472733,26.0366936,16.51,0.62
9/10/2023,B-1,44.4472733,26.0366936,16.01,0.62
9/11/2023,B-1,44.4472733,26.0366936,13.96,0.64
9/12/2023,B-1,44.4472733,26.0366936,16.64,0.7
9/13/2023,B-1,44.4472733,26.0366936,17.02,0.74
9/14/2023,B-1,44.4472733,26.0366936,16.04,0.7
9/15/2023,B-1,44.4472733,26.0366936,16.41,0.76
9/16/2023,B-1,44.4472733,26.0366936,13.74,0.78
9/17/2023,B-1,44.4472733,26.0366936,11.77,0.76
9/18/2023,B-1,44.4472733,26.0366936,12.61,0.77
9/19/2023,B-1,44.4472733,26.0366936,11.14,0.74
9/20/2023,B-1,44.4472733,26.0366936,9.67,0.76
9/21/2023,B-1,44.4472733,26.0366936,8.68,0.77
9/22/2023,B-1,44.4472733,26.0366936,11.32,0.8
9/23/2023,B-1,44.4472733,26.0366936,11.75,0.81
9/24/2023,B-1,44.4472733,26.0366936,14.99,0.78
9/25/2023,B-1,44.4472733,26.0366936,6.02,0.77
9/26/2023,B-1,44.4472733,26.0366936,18.54,-
